t,r_x,r_y,r_z
0.0,0.0,0.0,0.0
1e-12,-8.255331100348693e-14,9.071366011750213e-13,0.0
2e-12,-3.0712364978618693e-13,1.6108731662852732e-12,0.0
3e-12,-6.359328032755764e-13,2.089499413628928e-12,0.0
4e-12,-1.0279867928133928e-12,2.328249753104172e-12,0.0
5e-12,-1.4403405450692963e-12,2.319758803749781e-12,0.0
6e-12,-1.8294227539623164e-12,2.0642886136804416e-12,0.0
7e-12,-2.152380061402086e-12,1.5697205727455942e-12,0.0
8e-12,-2.368399088690478e-12,8.513122675036604e-13,0.0
9e-12,-2.4399655337512575e-12,-6.877322033630538e-14,0.0
1e-11,-2.3340214908994904e-12,-1.1621510507078134e-12,0.0
1.0999999999999999e-11,-2.0229852897262905e-12,-2.3950903037583737e-12,0.0
1.2e-11,-1.4856023909923612e-12,-3.72955458532226e-12,0.0
1.3e-11,-7.076010893500173e-13,-5.124375456412307e-12,0.0
1.4e-11,3.1786720554104375e-13,-6.536522486223231e-12,0.0
1.5e-11,1.5900166921459656e-12,-7.922430747305856e-12,0.0
1.6e-11,3.1004514222601785e-12,-9.239344799489168e-12,0.0
1.7e-11,4.833424320223886e-12,-1.0446637700463868e-11,0.0
1.8e-11,6.766322985272878e-12,-1.1507064351388842e-11,0.0
1.9e-11,8.87036728986683e-12,-1.23879105116717e-11,0.0
2e-11,1.111149725290883e-11,-1.3062002035710053e-11,0.0
2.1e-11,1.3451423796773415e-11,-1.3508543196565376e-11,0.0
2.1999999999999998e-11,1.5848809972084832e-11,-1.3713758234244625e-11,0.0
2.2999999999999998e-11,1.8260546209253416e-11,-1.3671316336821816e-11,0.0
2.4e-11,2.0643080255055054e-11,-1.3382526943765144e-11,0.0
2.5e-11,2.2953760765514157e-11,-1.2856299346430482e-11,0.0
2.6e-11,2.515215310506856e-11,-1.210886783214783e-11,0.0
2.7e-11,2.7201286759451603e-11,-1.1163290851337517e-11,0.0
2.8e-11,2.9068795879469e-11,-1.0048739658508598e-11,0.0
2.9e-11,3.072791776978974e-11,-8.799598372743718e-12,0.0
3e-11,3.2158318519299523e-11,-7.454403220999306e-12,0.0
3.0999999999999996e-11,3.334672030228324e-11,-6.054653688769673e-12,0.0
3.2e-11,3.428731099819425e-11,-4.643532254324791e-12,0.0
3.3e-11,3.4981923493276166e-11,-3.2645722029251996e-12,0.0
3.4e-11,3.543997913265302e-11,-1.9603146191408095e-12,0.0
3.5e-11,3.567819706749472e-11,-7.709959892404417e-13,0.0
3.6e-11,3.572007846403159e-11,2.666930987226818e-13,0.0
3.7e-11,3.559518148672945e-11,1.1207398628940787e-12,0.0
3.8e-11,3.533820942257458e-11,1.7647969242054027e-12,0.0
3.9e-11,3.498794007803015e-11,2.178995124141437e-12,0.0
4e-11,3.458602947697275e-11,2.350556488223933e-12,0.0
4.1e-11,3.417572676573542e-11,2.2741884252905592e-12,0.0
4.2e-11,3.380053997064089e-11,1.9522470015592635e-12,0.0
4.3e-11,3.350289376959955e-11,1.3946642525463722e-12,0.0
4.3999999999999997e-11,3.3322820685696985e-11,6.186417753718487e-13,0.0
4.5e-11,3.329672607960612e-11,-3.5187994573519437e-13,0.0
4.5999999999999996e-11,3.3456265040939316e-11,-1.4869601092614318e-12,0.0
4.7e-11,3.382736582654304e-11,-2.7515812765040153e-12,0.0
4.8e-11,3.442942997273132e-11,-4.10672966620764e-12,0.0
4.9e-11,3.5274733758027735e-11,-5.510598736449184e-12,0.0
5e-11,3.6368049481286197e-11,-6.919878923061073e-12,0.0
5.1e-11,3.7706498238719865e-11,-8.29109374595924e-12,0.0
5.2e-11,3.9279638741591404e-11,-9.581941064301922e-12,0.0
5.3e-11,4.106978943443055e-11,-1.0752598102580327e-11,0.0
5.4e-11,4.305257397629443e-11,-1.1766949987430605e-11,0.0
5.5e-11,4.5197673256810995e-11,-1.2593703894677275e-11,0.0
5.6e-11,4.746976074712788e-11,-1.3207354435073124e-11,0.0
5.7e-11,4.982959232999259e-11,-1.3588970496520261e-11,0.0
5.8e-11,5.2235216987500555e-11,-1.3726779268660107e-11,0.0
5.9e-11,5.46432709965862e-11,-1.361652943268045e-11,0.0
6e-11,5.7010315706123033e-11,-1.3261622311977002e-11,0.0
6.1e-11,5.92941776250165e-11,-1.2673006937749368e-11,0.0
6.199999999999999e-11,6.145524947939597e-11,-1.1868842266868188e-11,0.0
6.3e-11,6.345771210113739e-11,-1.0873936972731678e-11,0.0
6.4e-11,6.527063945232872e-11,-9.718984091727916e-12,0.0
6.5e-11,6.68689526955765e-11,-8.439614136643459e-12,0.0
6.6e-11,6.823419387702203e-11,-7.0752958886676725e-12,0.0
6.7e-11,6.935509535391881e-11,-5.668118778765395e-12,0.0
6.8e-11,7.022792739993967e-11,-4.261494422160143e-12,0.0
6.9e-11,7.085661326463523e-11,-2.8988173637917722e-12,0.0
7e-11,7.125260813753977e-11,-1.6221263509429085e-12,0.0
7.1e-11,7.1434545750994e-11,-4.708074329482759e-13,0.0
7.2e-11,7.142766352412919e-11,5.196211024867836e-13,0.0
7.299999999999999e-11,7.126302398248644e-11,1.3186044715187979e-12,0.0
7.4e-11,7.09765564726609e-11,1.9014940112074856e-12,0.0
7.5e-11,7.060794873527298e-11,2.2503075915697255e-12,0.0
7.6e-11,7.019942253144669e-11,2.3542843639095614e-12,0.0
7.699999999999999e-11,6.979443109492558e-11,2.2102167314499844e-12,0.0
7.8e-11,6.94363185936308e-11,1.8225493010203355e-12,0.0
7.9e-11,6.916698295646271e-11,1.2032417632222384e-12,0.0
8e-11,6.902558331731285e-11,3.713999313355044e-13,0.0
8.1e-11,6.904733195178869e-11,-6.473136784431221e-13,0.0
8.2e-11,6.926240797552675e-11,-1.82147154166149e-12,0.0
8.3e-11,6.969502631659301e-11,-3.114850671207289e-12,0.0
8.4e-11,7.036269068423035e-11,-4.487550103155935e-12,0.0
8.5e-11,7.127565357988908e-11,-5.897221848226122e-12,0.0
8.6e-11,7.243660000918637e-11,-7.300377333783389e-12,0.0
8.7e-11,7.384056465223027e-11,-8.653729032454282e-12,0.0
8.799999999999999e-11,7.547508504751901e-11,-9.915525887918714e-12,0.0
8.9e-11,7.732058606357567e-11,-1.1046841339822882e-11,0.0
9e-11,7.935098379722343e-11,-1.2012774212095333e-11,0.0
9.1e-11,8.153449026807092e-11,-1.278352541714039e-11,0.0
9.199999999999999e-11,8.383459408419526e-11,-1.3335317259494769e-11,0.0
9.3e-11,8.621118682528662e-11,-1.3651126978373911e-11,0.0
9.4e-11,8.862180039412713e-11,-1.372121189930068e-11,0.0
9.5e-11,9.102291716390427e-11,-1.354340999390541e-11,0.0
9.6e-11,9.337131250311295e-11,-1.3123206575680126e-11,0.0
9.7e-11,9.562538826096447e-11,-1.2473565074209964e-11,0.0
9.8e-11,9.774645607510692e-11,-1.1614527108615437e-11,0.0
9.9e-11,9.969993091146692e-11,-1.0572594198086554e-11,0.0
1e-10,1.0145639801538915e-10,-9.379910183908966e-12,0.0
1.01e-10,1.0299252035854364e-10,-8.073269585451054e-12,0.0
1.02e-10,1.0429175858681043e-10,-6.692982482530552e-12,0.0
1.0299999999999999e-10,1.0534488125873198e-10,-5.2816309427467276e-12,0.0
1.04e-10,1.0615024963369638e-10,-3.882755358201793e-12,0.0
1.05e-10,1.06713868224191e-10,-2.5395112183240004e-12,0.0
1.06e-10,1.0704919955267868e-10,-1.2933377575384165e-12,0.0
1.0699999999999999e-10,1.0717674882796779e-10,-1.8267955017379994e-13,0.0
1.08e-10,1.0712343135395843e-10,7.581995084519546e-13,0.0
1.09e-10,1.069217421863766e-10,1.50027324596717e-12,0.0
1.1e-10,1.0660875365377557e-10,2.020648672011838e-12,0.0
1.1099999999999999e-10,1.0622497166948285e-10,2.303272227470165e-12,0.0
1.12e-10,1.0581308611747662e-10,2.339425036066587e-12,0.0
1.13e-10,1.0541665386299378e-10,2.1279918798351853e-12,0.0
1.14e-10,1.0507875501719206e-10,1.6754956006267797e-12,0.0
1.15e-10,1.0484066391028793e-10,9.958958664587328e-13,0.0
1.16e-10,1.0474057577381648e-10,1.1015851088833567e-13,0.0
1.17e-10,1.0481242841400923e-10,-9.543912685597091e-13,0.0
1.18e-10,1.0508485522778103e-10,-2.164911898910208e-12,0.0
1.19e-10,1.0558030186086616e-10,-3.484058600812608e-12,0.0
1.2e-10,1.063143337592482e-10,-4.871135481706338e-12,0.0
1.21e-10,1.0729515597593468e-10,-6.283351010794823e-12,0.0
1.22e-10,1.0852336004701303e-10,-7.677138144218879e-12,0.0
1.23e-10,1.0999190574580197e-10,-9.009498374368963e-12,0.0
1.2399999999999999e-10,1.1168633827788871e-10,-1.0239328239229606e-11,0.0
1.25e-10,1.1358523421646047e-10,-1.1328687368776636e-11,0.0
1.26e-10,1.1566086242067326e-10,-1.2243968949054114e-11,0.0
1.27e-10,1.178800395475522e-10,-1.2956936495001241e-11,0.0
1.28e-10,1.2020515376468942e-10,-1.3445594947506817e-11,0.0
1.29e-10,1.225953250820006e-10,-1.3694869221301141e-11,0.0
1.3e-10,1.250076665060976e-10,-1.3697069270473063e-11,0.0
1.3099999999999999e-10,1.273986071104591e-10,-1.3452127324367637e-11,0.0
1.32e-10,1.297252362044859e-10,-1.2967599975199215e-11,0.0
1.33e-10,1.3194662713364151e-10,-1.2258435053073079e-11,0.0
1.34e-10,1.3402509987127937e-10,-1.1346510480447993e-11,0.0
1.35e-10,1.3592738345105808e-10,-1.0259959332533057e-11,0.0
1.36e-10,1.3762564237879482e-10,-9.03230192568134e-12,0.0
1.37e-10,1.3909833535887204e-10,-7.701411709045739e-12,0.0
1.38e-10,1.4033087984344476e-10,-6.308346861942605e-12,0.0
1.3899999999999999e-10,1.4131610190309783e-10,-4.896083642352099e-12,0.0
1.4e-10,1.4205445754047265e-10,-3.508190562959739e-12,0.0
1.41e-10,1.425540186194024e-10,-2.1874842966056926e-12,0.0
1.42e-10,1.4283022384374053e-10,-9.74708776641777e-13,0.0
1.43e-10,1.4290540246831394e-10,9.272175788677822e-14,0.0
1.44e-10,1.428080854356735e-10,9.818769950406232e-13,0.0
1.45e-10,1.4257212519025018e-10,1.6653264525760453e-12,0.0
1.4599999999999999e-10,1.422356513238432e-10,2.1219857096542037e-12,0.0
1.47e-10,1.418398942709806e-10,2.3377668613805228e-12,0.0
1.48e-10,1.414279133433582e-10,2.3060131296468725e-12,0.0
1.49e-10,1.410432683436997e-10,2.0277042225636404e-12,0.0
1.5e-10,1.40728675739947e-10,1.511426107210245e-12,0.0
1.51e-10,1.405246908569888e-10,7.731061283151239e-13,0.0
1.52e-10,1.4046845674047435e-10,-1.6447835541540281e-13,0.0
1.53e-10,1.4059255829039963e-10,-1.2724026585932329e-12,0.0
1.5399999999999999e-10,1.409240170145516e-10,-2.516487101988144e-12,0.0
1.55e-10,1.4148345741374032e-10,-3.858351462248699e-12,0.0
1.56e-10,1.4228447071587346e-10,-5.256599008526382e-12,0.0
1.57e-10,1.4333319558767907e-10,-6.6680935982653685e-12,0.0
1.58e-10,1.4462812875908607e-10,-8.049290433547883e-12,0.0
1.59e-10,1.4616017140243083e-10,-9.357579423966061e-12,0.0
1.6e-10,1.479129098355888e-10,-1.0552599713095057e-11,0.0
1.6099999999999999e-10,1.4986312188920709e-10,-1.1597484815265784e-11,0.0
1.62e-10,1.5198149331645e-10,-1.2459999950033577e-11,0.0
1.63e-10,1.5423352214383774e-10,-1.3113536487469975e-11,0.0
1.64e-10,1.565805830637594e-10,-1.3537932825568944e-11,0.0
1.65e-10,1.5898111903194694e-10,-1.3720096375663388e-11,0.0
1.66e-10,1.6139192330892024e-10,-1.3654407467601997e-11,0.0
1.67e-10,1.6376947239421998e-10,-1.3342892714248257e-11,0.0
1.68e-10,1.6607126873221256e-10,-1.2795162487078547e-11,0.0
1.6899999999999999e-10,1.6825715176681335e-10,-1.2028114431861858e-11,0.0
1.7e-10,1.7029053689893182e-10,-1.1065412171096949e-11,0.0
1.71e-10,1.721395441246691e-10,-9.936755275396864e-12,0.0
1.72e-10,1.7377798153567706e-10,-8.67696302538445e-12,0.0
1.73e-10,1.7518615334062397e-10,-7.324900230240306e-12,0.0
1.74e-10,1.7635146748027083e-10,-5.922278241605984e-12,0.0
1.75e-10,1.772688240912357e-10,-4.512368151771219e-12,0.0
1.7599999999999999e-10,1.7794077283437808e-10,-3.138665874185214e-12,0.0
1.77e-10,1.7837743423429672e-10,-1.843550288752278e-12,0.0
1.78e-10,1.7859618745672412e-10,-6.669758483075982e-13,0.0
1.79e-10,1.786211341560215e-10,3.547600204799404e-13,0.0
1.8e-10,1.784823549332412e-10,1.190136695965331e-12,0.0
1.81e-10,1.7821498134320646e-10,1.813382774867553e-12,0.0
1.82e-10,1.7785811207938777e-10,2.2052711210739668e-12,0.0
1.83e-10,1.774536067724772e-10,2.3537120226221183e-12,0.0
1.8399999999999998e-10,1.7704479461418267e-10,2.2541261579712286e-12,0.0
1.85e-10,1.766751376454014e-10,1.9095858655953112e-12,0.0
1.86e-10,1.76386889946526e-10,1.3307203588073674e-12,0.0
1.87e-10,1.7621979409403858e-10,5.353878100463512e-13,0.0
1.88e-10,1.7620985509786242e-10,-4.518755790350613e-13,0.0
1.89e-10,1.7638822964363224e-10,-1.6006125253308385e-12,0.0
