t,v_x,v_y,v_z
0.0,68356706.30207634,0.0,187808507.03324625
1e-12,68356706.30207634,8.213058455321994e-25,187808507.03324625
2e-12,68356706.30207634,1.6426118069409112e-24,187808507.03324625
3e-12,68356706.30207634,2.463918000102648e-24,187808507.03324625
4e-12,68356706.30207634,3.285224540893922e-24,187808507.03324625
5e-12,68356706.30207634,4.1065315451912454e-24,187808507.03324625
6e-12,68356706.30207634,4.927839128871131e-24,187808507.03324625
7e-12,68356706.30207634,5.7491474078100914e-24,187808507.03324625
8e-12,68356706.30207634,6.570456497884639e-24,187808507.03324625
9e-12,68356706.30207634,7.391766514971285e-24,187808507.03324625
1e-11,68356706.30207634,8.213077574946544e-24,187808507.03324625
1.0999999999999999e-11,68356706.30207634,9.034389793686927e-24,187808507.03324625
1.2e-11,68356706.30207634,9.855703287068946e-24,187808507.03324625
1.3e-11,68356706.30207634,1.0677018170969114e-23,187808507.03324625
1.4e-11,68356706.30207634,1.1498334561263944e-23,187808507.03324625
1.5e-11,68356706.30207634,1.2319652573829949e-23,187808507.03324625
1.6e-11,68356706.30207634,1.3140972324543638e-23,187808507.03324625
1.7e-11,68356706.30207634,1.3962293929281526e-23,187808507.03324625
1.8e-11,68356706.30207634,1.4783617503920127e-23,187808507.03324625
1.9e-11,68356706.30207634,1.560494316433595e-23,187808507.03324625
2e-11,68356706.30207634,1.642627102640551e-23,187808507.03324625
2.1e-11,68356706.30207634,1.7247601206005317e-23,187808507.03324625
2.1999999999999998e-11,68356706.30207634,1.8068933819011887e-23,187808507.03324625
2.2999999999999998e-11,68356706.30207634,1.889026898130173e-23,187808507.03324625
2.4e-11,68356706.30207634,1.971160680875136e-23,187808507.03324625
2.5e-11,68356706.30207634,2.0532947417237286e-23,187808507.03324625
2.6e-11,68356706.30207634,2.1354290922636024e-23,187808507.03324625
2.7e-11,68356706.30207634,2.2175637440824085e-23,187808507.03324625
2.8e-11,68356706.30207634,2.2996987087677982e-23,187808507.03324625
2.9e-11,68356706.30207634,2.3818339979074224e-23,187808507.03324625
3e-11,68356706.30207634,2.463969623088933e-23,187808507.03324625
3.0999999999999996e-11,68356706.30207634,2.5461055958999804e-23,187808507.03324625
3.2e-11,68356706.30207634,2.6282419279282166e-23,187808507.03324625
3.3e-11,68356706.30207634,2.710378630761293e-23,187808507.03324625
3.4e-11,68356706.30207634,2.79251571598686e-23,187808507.03324625
3.5e-11,68356706.30207634,2.8746531951925687e-23,187808507.03324625
3.6e-11,68356706.30207634,2.9567910799660714e-23,187808507.03324625
3.7e-11,68356706.30207634,3.038929381895019e-23,187808507.03324625
3.8e-11,68356706.30207634,3.1210681125670624e-23,187808507.03324625
3.9e-11,68356706.30207634,3.203207283569853e-23,187808507.03324625
4e-11,68356706.30207634,3.285346906491042e-23,187808507.03324625
4.1e-11,68356706.30207634,3.3674869929182804e-23,187808507.03324625
4.2e-11,68356706.30207634,3.4496275544392203e-23,187808507.03324625
4.3e-11,68356706.30207634,3.531768602641512e-23,187808507.03324625
4.3999999999999997e-11,68356706.30207634,3.6139101491128075e-23,187808507.03324625
4.5e-11,68356706.30207634,3.696052205440757e-23,187808507.03324625
4.5999999999999996e-11,68356706.30207634,3.778194783213013e-23,187808507.03324625
4.7e-11,68356706.30207634,3.860337894017226e-23,187808507.03324625
4.8e-11,68356706.30207634,3.942481549441048e-23,187808507.03324625
4.9e-11,68356706.30207634,4.024625761072129e-23,187808507.03324625
